2012-03-08T20:04:12+00:00 INFO (6): Beginning indexing operations
2012-03-08T20:04:12+00:00 INFO (6): Using manual version 1.11
2012-03-08T20:04:12+00:00 INFO (6): Indexing to directory "build/indexes"; ensuring exists and empty
2012-03-08T20:04:12+00:00 INFO (6): Using directory "/home/matthew/git/zf-standard/documentation/manual" as manual source
2012-03-08T20:08:04+00:00 INFO (6):     Indexing: /manual/1.11/ja/coding-standard.html
2012-03-08T20:08:04+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.search.lucene.index-creation.html
2012-03-08T20:08:04+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.feed.writer.html
2012-03-08T20:08:05+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.json.server.html
2012-03-08T20:08:05+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.reflection.introduction.html
2012-03-08T20:08:05+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.session.advanced_usage.html
2012-03-08T20:08:06+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.service.audioscrobbler.html
2012-03-08T20:08:06+00:00 INFO (6):     Indexing: /manual/1.11/ja/learning.lucene.index-opening.html
2012-03-08T20:08:06+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.mime.message.html
2012-03-08T20:08:06+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.translate.sourcecreation.html
2012-03-08T20:08:06+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.currency.position.html
2012-03-08T20:08:06+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.db.table.relationships.html
2012-03-08T20:08:06+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.service.amazon.ec2.images.html
2012-03-08T20:08:06+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.feed.consuming-rss.html
2012-03-08T20:08:07+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.mail.introduction.html
2012-03-08T20:08:07+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.xmlrpc.server.html
2012-03-08T20:08:07+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.cloud.html
2012-03-08T20:08:07+00:00 INFO (6):     Indexing: /manual/1.11/ja/learning.view.placeholders.html
2012-03-08T20:08:07+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.form.html
2012-03-08T20:08:07+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.ldap.api.html
2012-03-08T20:08:08+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.tool.framework.html
2012-03-08T20:08:08+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.http.user-agent-storage-session.html
2012-03-08T20:08:08+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.gdata.calendar.html
2012-03-08T20:08:09+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.measure.creation.html
2012-03-08T20:08:09+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.cache.frontends.html
2012-03-08T20:08:09+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.dojo.data.html
2012-03-08T20:08:10+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.search.lucene.query-language.html
2012-03-08T20:08:10+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.validate.validator_chains.html
2012-03-08T20:08:10+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.mail.boundary.html
2012-03-08T20:08:10+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.mail.different-transports.html
2012-03-08T20:08:10+00:00 INFO (6):     Indexing: /manual/1.11/ja/learning.layout.intro.html
2012-03-08T20:08:10+00:00 INFO (6):     Indexing: /manual/1.11/ja/performance.introduction.html
2012-03-08T20:08:10+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.oauth.html
2012-03-08T20:08:10+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.gdata.photos.html
2012-03-08T20:08:11+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.feed.consuming-atom-single-entry.html
2012-03-08T20:08:11+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.progressbar.html
2012-03-08T20:08:11+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.feed.pubsubhubbub.introduction.html
2012-03-08T20:08:11+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.service.flickr.html
2012-03-08T20:08:11+00:00 INFO (6):     Indexing: /manual/1.11/ja/migration.17.html
2012-03-08T20:08:11+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.rest.introduction.html
2012-03-08T20:08:11+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.reflection.reference.html
2012-03-08T20:08:12+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.search.lucene.best-practice.html
2012-03-08T20:08:12+00:00 INFO (6):     Indexing: /manual/1.11/ja/learning.lucene.pagination.html
2012-03-08T20:08:12+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.filter.introduction.html
2012-03-08T20:08:12+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.navigation.html
2012-03-08T20:08:12+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.gdata.exception.html
2012-03-08T20:08:12+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.service.strikeiron.bundled-services.html
2012-03-08T20:08:13+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.tag.cloud.html
2012-03-08T20:08:13+00:00 INFO (6):     Indexing: /manual/1.11/ja/migration.08.html
2012-03-08T20:08:13+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.feed.custom-feed.html
2012-03-08T20:08:13+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.console.getopt.rules.html
2012-03-08T20:08:13+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.feed.consuming-atom.html
2012-03-08T20:08:13+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.cache.cache.manager.html
2012-03-08T20:08:13+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.layout.html
2012-03-08T20:08:23+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.navigation.containers.html
2012-03-08T20:08:23+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.queue.stomp.html
2012-03-08T20:08:23+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.mime.mime.html
2012-03-08T20:08:23+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.translate.adapter.html
2012-03-08T20:08:23+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.db.table.rowset.html
2012-03-08T20:08:24+00:00 INFO (6):     Indexing: /manual/1.11/ja/learning.form.decorators.html
2012-03-08T20:08:24+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.translate.using.html
2012-03-08T20:08:24+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.gdata.spreadsheets.html
2012-03-08T20:08:24+00:00 INFO (6):     Indexing: /manual/1.11/ja/doc-standard.file-formatting.html
2012-03-08T20:08:24+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.service.amazon.ec2.cloudwatch.html
2012-03-08T20:08:24+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.auth.adapter.http.html
2012-03-08T20:08:24+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.currency.introduction.html
2012-03-08T20:08:24+00:00 INFO (6):     Indexing: /manual/1.11/ja/learning.form.decorators.intro.html
2012-03-08T20:08:24+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.xmlrpc.introduction.html
2012-03-08T20:08:24+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.tool.project.create-a-project.html
2012-03-08T20:08:24+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.db.table.html
2012-03-08T20:08:25+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.pdf.introduction.html
2012-03-08T20:08:25+00:00 INFO (6):     Indexing: /manual/1.11/ja/learning.lucene.intro.html
2012-03-08T20:08:25+00:00 INFO (6):     Indexing: /manual/1.11/ja/learning.multiuser.intro.html
2012-03-08T20:08:25+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.http.cookies.html
2012-03-08T20:08:25+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.form.advanced.html
2012-03-08T20:08:25+00:00 INFO (6):     Indexing: /manual/1.11/ja/learning.multiuser.authentication.html
2012-03-08T20:08:25+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.loader.load.html
2012-03-08T20:08:25+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.barcode.creation.html
2012-03-08T20:08:25+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.http.user-agent-features-device-atlas.html
2012-03-08T20:08:26+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.service.slideshare.html
2012-03-08T20:08:26+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.tool.html
2012-03-08T20:08:26+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.http.user-agent-features-wurfl.html
