2010-01-17T20:12:32+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.date.definition.theory.html
2010-01-17T20:12:32+00:00 INFO (6):     Indexing: /manual/1.9/ja/performance.localization.html
2010-01-17T20:12:33+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.mail.sending.html
2010-01-17T20:12:34+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.auth.adapter.digest.html
2010-01-17T20:12:34+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.registry.html
2010-01-17T20:12:34+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.navigation.migration.html
2010-01-17T20:12:34+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.date.additional.html
2010-01-17T20:12:34+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.service.amazon.ec2.cloudwatch.html
2010-01-17T20:12:35+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.validate.writing_validators.html
2010-01-17T20:12:35+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.queue.adapters.html
2010-01-17T20:12:35+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.controller.actionhelpers.html
2010-01-17T20:12:38+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.auth.html
2010-01-17T20:12:40+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.service.amazon.ec2.reserved.instance.html
2010-01-17T20:12:40+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.service.amazon.ec2.windows.instance.html
2010-01-17T20:12:41+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.controller.html
2010-01-17T20:12:41+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.console.getopt.html
2010-01-17T20:12:41+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.service.technorati.html
2010-01-17T20:12:42+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.ldap.tools.html
2010-01-17T20:12:42+00:00 INFO (6):     Indexing: /manual/1.9/ja/coding-standard.html
2010-01-17T20:12:42+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.mail.additional-headers.html
2010-01-17T20:12:42+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.queue.custom.html
2010-01-17T20:12:43+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.translate.using.html
2010-01-17T20:12:44+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.paginator.configuration.html
2010-01-17T20:12:44+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.amf.server.html
2010-01-17T20:12:45+00:00 INFO (6):     Indexing: /manual/1.9/ja/performance.classloading.html
